HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000002	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
HMDB0000012	NA
